layer,d1_itw_eval_auroc,d1_ood_dev_mean_auroc,d1_ood_test_mean_auroc,d2_itw_eval_auroc,d2_ood_dev_auroc,d2_ood_test_auroc,same_layer_cosine_raw_space
0,0.9244444444444444,0.6721581952662723,0.6654023927514793,0.8339622641509434,0.39080000000000004,0.3692,0.04903951287269592
1,0.9033333333333333,0.6106969563609468,0.6032302773668639,0.7773584905660378,0.36119999999999997,0.41759999999999997,0.023986412212252617
2,0.9233333333333333,0.4676463202662722,0.4676269341715976,0.7773584905660378,0.48439999999999994,0.48360000000000003,0.049410220235586166
3,0.8966666666666666,0.5964396375739646,0.5878095894970414,0.7509433962264151,0.5236,0.4792,0.026408089324831963
4,0.9122222222222223,0.6212248816568046,0.6358598224852072,0.7622641509433963,0.6752,0.6528,0.08602001518011093
5,0.8733333333333333,0.6087071338757397,0.5769940865384615,0.8301886792452831,0.6488,0.6936,0.08512980490922928
6,0.8955555555555555,0.6258309245562129,0.5962516863905325,0.8339622641509434,0.6132,0.7196,0.09430725127458572
7,0.9033333333333333,0.653356427514793,0.6487769970414201,0.8264150943396227,0.4864,0.5900000000000001,0.06655880063772202
8,0.9111111111111112,0.5786332692307692,0.5984052514792899,0.7584905660377359,0.4724,0.6035999999999999,0.07313121855258942
9,0.9077777777777778,0.6433200332840237,0.6636638794378698,0.5698113207547171,0.43799999999999994,0.43879999999999997,0.03320032358169556
10,0.9288888888888889,0.6437219526627219,0.6202881286982249,0.8490566037735849,0.5864,0.5584,0.04912389814853668
11,0.9111111111111111,0.7320565828402367,0.6925310946745562,0.7924528301886793,0.6556,0.622,0.09399896115064621
12,0.9533333333333334,0.6715266124260355,0.6706429585798817,0.8867924528301887,0.8071999999999999,0.7928,0.11192045360803604
13,0.9133333333333333,0.5953397892011834,0.5815836057692307,0.8641509433962264,0.8608,0.8604,0.0672549158334732
14,0.8622222222222222,0.6904539053254437,0.6681353920118343,0.7924528301886793,0.8364,0.8132,0.07054281234741211
15,0.8577777777777779,0.5068961797337278,0.4805333431952663,0.7584905660377359,0.9283999999999999,0.9108,0.10519811511039734
16,0.8711111111111111,0.5717013905325443,0.5769066642011835,0.7471698113207548,0.8904000000000001,0.8728,0.11627363413572311
17,0.89,0.6731463313609467,0.6423120192307692,0.8452830188679246,0.9332,0.9116,0.12983642518520355
18,0.9155555555555556,0.51436900147929,0.48606660502958576,0.7735849056603774,0.9484,0.9116,0.11533577740192413
19,0.9322222222222222,0.659609726331361,0.6327213979289941,0.8226415094339623,0.9284000000000001,0.8827999999999999,0.07653091102838516
20,0.9055555555555556,0.7407870118343194,0.722777048816568,0.8905660377358491,0.9039999999999999,0.858,0.09184058010578156
21,0.8666666666666667,0.8115978624260354,0.7994259393491123,0.8490566037735849,0.9408000000000001,0.8876,0.07492461055517197
22,0.8722222222222222,0.8200383801775148,0.8205925295857988,0.8377358490566038,0.9420000000000002,0.8815999999999999,0.05675622448325157
23,0.8566666666666667,0.8441328106508875,0.8428294304733728,0.8301886792452831,0.8904,0.8455999999999999,0.06735595315694809
24,0.8555555555555556,0.8556891568047337,0.8466660798816568,0.8037735849056604,0.876,0.8304,0.07657486200332642
25,0.8566666666666667,0.8659222855029585,0.8611214644970414,0.8188679245283019,0.8916000000000001,0.872,0.08525458723306656
26,0.8622222222222222,0.8438187204142011,0.8240353994082841,0.8,0.8764,0.8772,0.06554149836301804
27,0.8411111111111111,0.8534579289940828,0.8326806065088757,0.8037735849056604,0.9188000000000001,0.9284,0.09836988151073456
